1级分类代码,1级分类名称,1级分类公告数量,2级分组代码,2级分组名称,3级分类代码,3级分类名称,公告数量,完整路径
20000,通函,1947,12,會議/表決,23400,在股東批准的情況下重選或委任董事,97,20000(通函) → 12(會議/表決) → 23400(在股東批准的情況下重選或委任董事)
20000,通函,1947,15,證券/股本,26300,回購股份的說明函件,65,20000(通函) → 15(證券/股本) → 26300(回購股份的說明函件)
20000,通函,1947,15,證券/股本,26350,一般性授權,65,20000(通函) → 15(證券/股本) → 26350(一般性授權)
20000,通函,1947,11,公司狀況變動及委員會/公司變動,22100,修訂憲章文件,63,20000(通函) → 11(公司狀況變動及委員會/公司變動) → 22100(修訂憲章文件)
20000,通函,1947,14,重組/股權改動/主要改動/公眾持股量/上市地位,25100,《收購守則》所指的受要約公司發出的文件,32,20000(通函) → 14(重組/股權改動/主要改動/公眾持股量/上市地位) → 25100(《收購守則》所指的受要約公司發出的文件)
20000,通函,1947,14,重組/股權改動/主要改動/公眾持股量/上市地位,25200,《收購守則》所指的要約公司發出的文件,32,20000(通函) → 14(重組/股權改動/主要改動/公眾持股量/上市地位) → 25200(《收購守則》所指的要約公司發出的文件)
20000,通函,1947,13,須予公布的交易,24200,主要交易,21,20000(通函) → 13(須予公布的交易) → 24200(主要交易)
20000,通函,1947,15,證券/股本,26850,股份計劃,21,20000(通函) → 15(證券/股本) → 26850(股份計劃)
20000,通函,1947,10,關連交易,21100,關連交易,16,20000(通函) → 10(關連交易) → 21100(關連交易)
20000,通函,1947,15,證券/股本,26100,資本化發行,15,20000(通函) → 15(證券/股本) → 26100(資本化發行)
20000,通函,1947,15,證券/股本,26650,發行股份,13,20000(通函) → 15(證券/股本) → 26650(發行股份)
20000,通函,1947,15,證券/股本,26250,交換證券或取代原證券,12,20000(通函) → 15(證券/股本) → 26250(交換證券或取代原證券)
20000,通函,1947,10,關連交易,21200,持續關連交易,10,20000(通函) → 10(關連交易) → 21200(持續關連交易)
20000,通函,1947,14,重組/股權改動/主要改動/公眾持股量/上市地位,25400,私有化/撤銷證券上市,9,20000(通函) → 14(重組/股權改動/主要改動/公眾持股量/上市地位) → 25400(私有化/撤銷證券上市)
20000,通函,1947,12,會議/表決,23200,發出通函後的重大資料,8,20000(通函) → 12(會議/表決) → 23200(發出通函後的重大資料)
20000,通函,1947,15,證券/股本,26450,發行債務證券,8,20000(通函) → 15(證券/股本) → 26450(發行債務證券)
20000,通函,1947,12,會議/表決,23500,在股東批准的情況下更換核數師,6,20000(通函) → 12(會議/表決) → 23500(在股東批准的情況下更換核數師)
20000,通函,1947,13,須予公布的交易,24500,非常重大的出售事項,5,20000(通函) → 13(須予公布的交易) → 24500(非常重大的出售事項)
20000,通函,1947,12,會議/表決,23300,由股東提名董事,4,20000(通函) → 12(會議/表決) → 23300(由股東提名董事)
20000,通函,1947,15,證券/股本,26400,發行可轉換證券,3,20000(通函) → 15(證券/股本) → 26400(發行可轉換證券)
20000,通函,1947,15,證券/股本,26800,供股,3,20000(通函) → 15(證券/股本) → 26800(供股)
20000,通函,1947,16,雜項,27100,有關集體投資計劃事宜,2,20000(通函) → 16(雜項) → 27100(有關集體投資計劃事宜)
20000,通函,1947,13,須予公布的交易,24400,非常重大的收購事項,2,20000(通函) → 13(須予公布的交易) → 24400(非常重大的收購事項)
20000,通函,1947,12,會議/表決,23100,更改表決意向,0,20000(通函) → 12(會議/表決) → 23100(更改表決意向)
20000,通函,1947,13,須予公布的交易,24100,須予披露的交易 (2009年1月1日前),0,20000(通函) → 13(須予公布的交易) → 24100(須予披露的交易 (2009年1月1日前))
20000,通函,1947,13,須予公布的交易,24300,反收購,0,20000(通函) → 13(須予公布的交易) → 24300(反收購)
20000,通函,1947,14,重組/股權改動/主要改動/公眾持股量/上市地位,25300,主要業務活動出現根本轉變,0,20000(通函) → 14(重組/股權改動/主要改動/公眾持股量/上市地位) → 25300(主要業務活動出現根本轉變)
