"代號","名稱","公佈日","配股價 / 溢價(折讓)","新股比例","現價 / 溢價(折讓)","配售代理","授權方式","配售方式","完成配售日期","狀態"
00399.hk,領航醫藥生物科技,16/07/25,0.312 / (20.0%),4.5%,0.395 / 26.6%,-,普通授權,新股,未公佈,配股中
00917.hk,趣致集團,16/07/25,106.6 / (17.04%),1.14%,112.9 / 5.91%,海通國際,普通授權,新股,未公佈,配股中
09636.hk,九方智投控股,16/07/25,39.25 / (6.0%),4.46%,44.8 / 14.14%,華泰金融 & 招銀國際 & 華盛資本,普通授權,先舊後新,未公佈,配股中
00254.hk,國家聯合資源,16/07/25,0.4 / (4.76%),28.49%,0.041 / (89.75%),-,特別授權,新股,未公佈,配股中
02586.hk,多點數智,16/07/25,11.1 / (10.0%),3.93%,11.86 / 6.85%,-,普通授權,先舊後新,未公佈,配股中
00815.hk,中國白銀集團,15/07/25,0.45 / (1.32%),19.64%,0.495 / 10.0%,-,普通授權,新股,未公佈,配股中
06855.hk,亞盛醫藥－Ｂ,15/07/25,68.6 / (8.17%),6.29%,77.8 / 13.41%,摩根士丹利 & 花旗,普通授權,先舊後新,未公佈,配股中
02432.hk,越疆,15/07/25,54.3 / (9.5%),4.73%,59.4 / 9.39%,瑞士銀行 & 國泰君安,普通授權,新股,未公佈,配股中
01520.hk,天機控股,15/07/25,0.52 / (18.75%),20.0%,0.87 / 67.31%,萬海,普通授權,新股,未公佈,配股中
01520.hk,天機控股,14/07/25,0.4 / (33.33%),4.73%,0.87 / 117.5%,-,特別授權,新股 - 代價發行,未公佈,配股中
08198.hk,加幂科技,14/07/25,2.0 / (14.5%),4.2%,3.09 / 54.5%,力高,普通授權,新股,未公佈,配股中
02159.hk,麥迪衛康,14/07/25,0.55 / (6.78%),16.67%,1.07 / 94.55%,萬海,普通授權,新股,未公佈,配股中
08283.hk,中食民安,14/07/25,0.6 / (17.81%),20.0%,0.94 / 56.67%,中國北方,普通授權,新股,未公佈,配股中
02225.hk,今海醫療科技,13/07/25,1.35 / (17.68%),2.32%,1.86 / 37.78%,-,普通授權,新股,未公佈,配股中
02598.hk,連連數字,13/07/25,10.25 / (10.09%),9.17%,14.14 / 37.95%,中國國際金融 & 德意志,普通授權,新股,未公佈,配股中
01274.hk,知行科技,13/07/25,15.22 / (8.97%),6.4%,16.22 / 6.57%,-,普通授權,新股,未公佈,配股中
06696.hk,多想雲,11/07/25,0.6 / (15.49%),20.0%,0.73 / 21.67%,-,普通授權,新股,未公佈,配股中
00329.hk,東建國際,11/07/25,0.28 / (18.84%),20.0%,0.47 / 67.86%,凱基,普通授權,新股,未公佈,配股中
08275.hk,中國新消費集團,10/07/25,0.11 / (14.73%),13.33%,0.157 / 42.73%,軟庫中華,普通授權,新股,未公佈,配股中
00620.hk,大唐西市,09/07/25,0.5 / 28.21%,10.0%,0.52 / 4.0%,昌利,普通授權,新股,未公佈,配股中
02616.hk,基石藥業－Ｂ,09/07/25,4.72 / (8.88%),7.33%,6.07 / 28.6%,摩根士丹利,普通授權,新股,16/07/25,已完成
08030.hk,豐銀禾控股,09/07/25,2.35 / (19.0%),3.0%,3.03 / 28.94%,-,普通授權,新股 - 代價發行,未公佈,配股中
00959.hk,世紀娛樂國際,09/07/25,0.62 / (13.89%),20.0%,0.72 / 16.13%,-,普通授權,新股,未公佈,配股中
01091.hk,南方錳業,08/07/25,0.224 / (18.55%),20.0%,0.3 / 33.93%,信誠,普通授權,新股,未公佈,配股中
00243.hk,QPL INT'L,08/07/25,0.16 / (14.44%),20.0%,0.29 / 81.25%,新確,普通授權,新股,未公佈,配股中
00809.hk,大成生化科技,08/07/25,0.12 / 36.36%,31.06%,0.089 / (25.83%),-,特別授權,新股 - 代價發行,未公佈,配股中
00994.hk,中天順聯,08/07/25,0.36 / 133.77%,12.93%,0.202 / (43.89%),-,特別授權,新股,未公佈,配股中
02157.hk,樂普生物－Ｂ,04/07/25,5.02 / (10.99%),5.66%,5.79 / 15.34%,中信 & 匯豐,普通授權,新股,11/07/25,已完成
01918.hk,融創中國,04/07/25,8.05 / 440.3%,7.04%,1.63 / (79.75%),-,普通授權,新股,未公佈,配股中
01159.hk,智數科技集團,04/07/25,1.69 / (19.52%),19.96%,3.82 / 126.04%,路華,普通授權,新股,未公佈,配股中
00381.hk,權識國際,04/07/25,0.4309 / (11.15%),19.99%,0.57 / 32.28%,-,普通授權,新股,未公佈,配股中
02431.hk,佑駕創新,03/07/25,23.26 / (14.8%),1.7%,24.3 / 4.47%,中信,普通授權,新股,09/07/25,已完成
02503.hk,中深建業,02/07/25,0.6 / (15.49%),20.0%,1.85 / 208.33%,-,普通授權,新股,未公佈,配股中
08635.hk,大象控股集團,02/07/25,0.431 / (12.93%),20.0%,0.59 / 36.89%,亞太,普通授權,新股,未公佈,配股中
09986.hk,大山教育,30/06/25,1.23 / (19.61%),5.0%,1.48 / 20.33%,華升 ,普通授權,新股,未公佈,配股中
01942.hk,馬可數字科技,30/06/25,0.5285 / (19.92%),20.0%,0.55 / 4.07%,華通,普通授權,新股,未公佈,配股中
01611.hk,新火科技控股,29/06/25,1.66 / (29.66%),28.34%,5.4 / 225.3%,-,特別授權,新股,未公佈,配股中
02562.hk,獅騰控股,27/06/25,15.8 / (19.96%),2.08%,22.9 / 44.94%,海通國際 & 大華繼顯 & 太陽 & 智易東方,普通授權,先舊後新,04/07/25,已完成
00582.hk,神話世界,27/06/25,0.118 / (18.62%),20.0%,0.154 / 30.51%,中富,普通授權,新股,15/07/25,已完成
02511.hk,君聖泰醫藥－Ｂ,26/06/25,2.21 / (15.0%),11.66%,3.57 / 61.54%,國信 & 國證國際 & 一盈,普通授權,新股,07/07/25,已完成
01801.hk,信達生物,26/06/25,78.36 / (4.9%),3.33%,90.0 / 14.85%,高盛 & 摩根士丹利,普通授權,新股,04/07/25,已完成
06936.hk,順豐控股,26/06/25,42.15 / (8.8%),41.2%,42.85 / 1.66%,華泰 & 高盛,普通授權,新股,04/07/25,已完成
06060.hk,眾安在綫,26/06/25,18.25 / (8.5%),15.14%,18.2 / (0.27%),摩根大通 & 中國國際金融 & 摩根士丹利,普通授權,新股,04/07/25,已完成
08172.hk,拉近網娛,26/06/25,0.241 / (19.67%),20.0%,0.29 / 20.33%,聯合,普通授權,新股,未公佈,配股中
08087.hk,中國三三傳媒,26/06/25,0.7 / (12.5%),20.0%,5.86 / 737.14%,新確,普通授權,新股,14/07/25,已完成
02012.hk,陽光油砂,25/06/25,0.64 / 0.0%,17.6%,0.5 / (21.88%),-,普通授權,新股,未公佈,配股中
08017.hk,捷利交易寶,24/06/25,0.63 / (14.86%),13.33%,1.16 / 84.13%,國泰君安,普通授權,新股,07/07/25,已完成
01380.hk,中國金石,24/06/25,0.17 / (9.09%),4.2%,0.172 / 1.18%,-,普通授權,新股,02/07/25,已完成
08191.hk,鴻偉亞洲,24/06/25,0.151 / (19.68%),20.0%,0.217 / 43.71%,-,普通授權,新股,11/07/25,已完成
01909.hk,火岩控股,24/06/25,1.87 / 2.2%,20.0%,2.05 / 9.63%,-,普通授權,新股,-,已取消
01143.hk,中國儲能科技發展,23/06/25,0.33 / (1.5%),20.0%,0.395 / 19.7%,軟庫中華 & 駿達,普通授權,新股,未公佈,配股中
00377.hk,中國華君,23/06/25,1.0 / 0.0%,19.5%,1.14 / 14.0%,-,普通授權,新股,未公佈,配股中
02550.hk,宜搜科技,20/06/25,3.2 / (8.0%),17.4%,6.4 / 100.0%,中銀國際 & 麥格理 & 華福,普通授權,先舊後新,30/06/25,已完成
01783.hk,晉景新能,20/06/25,8.1 / (1.22%),0.897%,7.51 / (7.28%),-,普通授權,新股,08/07/25,已完成
00456.hk,新城市建設發展,18/06/25,0.442 / (4.95%),22.67%,0.5 / 13.12%,-,特別授權,新股,未公佈,配股中
00767.hk,中基長壽科學,17/06/25,0.34 / (19.43%),16.49%,0.5 / 47.06%,-,普通授權,新股,25/06/25,已完成
00145.hk,信能低碳,17/06/25,0.148 / (17.78%),20.0%,0.17 / 14.86%,盈立,普通授權,新股,未公佈,配股中
00036.hk,遠東控股國際,17/06/25,0.344 / (16.1%),20.0%,0.4 / 16.28%,金利豐,普通授權,新股,-,已取消
00767.hk,中基長壽科學,16/06/25,0.33 / (19.71%),16.99%,0.5 / 51.52%,-,普通授權,新股,-,已取消
08308.hk,古兜控股,16/06/25,0.058 / (6.45%),9.63%,0.05 / (13.79%),-,普通授權,新股,未公佈,配股中
01877.hk,君實生物,13/06/25,25.35 / (11.52%),18.7%,25.5 / 0.59%,瑞士銀行,普通授權,新股,20/06/25,已完成
00990.hk,榮暉國際,13/06/25,0.5 / (13.8%),6.1%,0.85 / 70.0%,-,普通授權,新股,27/06/25,已完成
01967.hk,信懇智能,13/06/25,0.27 / (19.4%),20.0%,0.435 / 61.11%,金利豐,普通授權,新股,23/06/25,已完成
02159.hk,麥迪衛康,13/06/25,0.4 / (9.09%),20.0%,1.07 / 167.5%,萬海,普通授權,新股,08/07/25,已完成
00770.hk,SHANGHAI GROWTH,13/06/25,0.195 / (18.75%),20.0%,0.37 / 89.74%,鼎石,普通授權,新股,04/07/25,已完成
09660.hk,地平線機器人－Ｗ,12/06/25,6.93 / (6.85%),5.2%,6.91 / (0.29%),高盛 & 摩根士丹利 & 瑞士銀行,普通授權,先舊後新,23/06/25,已完成
00854.hk,威雅利,12/06/25,2.66 / (18.4%),17.11%,18.5 / 595.49%,-,普通授權,新股,15/07/25,已完成
02246.hk,快狗打車,12/06/25,3.846 / (0.62%),4.93%,4.01 / 4.26%,-,普通授權,新股 - 代價發行,未公佈,配股中
08536.hk,TL NATURAL GAS,12/06/25,0.225 / (16.67%),16.0%,0.29 / 28.89%,艾德,普通授權,新股,27/06/25,已完成
02162.hk,康諾亞－Ｂ,11/06/25,45.48 / (6.52%),7.72%,56.2 / 23.57%,-,普通授權,先舊後新,19/06/25,已完成
08246.hk,中華燃氣,11/06/25,0.12 / 1.69%,4.96%,0.151 / 25.83%,-,普通授權,新股,未公佈,配股中
