"代號","名稱","公佈日期","要約價 /溢價(折讓)","現價 /溢價(折讓)","出售股份","新主","開始接納","最後接納","公佈三年","狀態"
01137.hk,香港科技探索,26/06/25,0.654 /(57.8%),1.59 /143.12%,-,Mission Forward Limited (王維基),未公佈,未公佈,-,待公佈
02312.hk,中國金融租賃,24/06/25,0.38 /13.43%,1.52 /300.0%,27.59%,Longling Capital Ltd (蔡文勝),未公佈,未公佈,-,待公佈
01747.hk,HOME CONTROL,24/06/25,0.616 /(39.61%),2.56 /315.58%,74.02%,Meta-Wisdom Tech Limited (楊豪放),15/07/25,05/08/25,05/08/28,要約中
08035.hk,駿高控股,13/06/25,0.06 /(7.69%),0.082 /36.67%,-,Pacific Crouch Limited (鄭漢溢),未公佈,未公佈,-,待公佈
02350.hk,數科集團,12/06/25,0.256 /(28.9%),0.4 /56.25%,57.3%,QH Technology Holdings Limited (閆威),未公佈,未公佈,-,待公佈
00195.hk,綠科科技國際,04/06/25,0.35 /25.0%,0.28 /(20.0%),-,Metals X Limited,25/06/25,23/07/25,23/07/28,要約中
01728.hk,正通汽車,28/05/25,0.15 /36.36%,0.143 /(4.67%),-,信達汽車 (香港) 有限公司,09/06/25,30/06/25,30/06/28,要約完成
01712.hk,龍資源,19/05/25,2.6 /(2.62%),3.16 /21.54%,32.54%,Wah Cheong Development (B.V.I.) Limited (聯合集團 - HKEX 0373),02/06/25,01/08/25,01/08/28,要約中
00223.hk,易生活控股,14/05/25,0.056 /(48.62%),0.109 /94.64%,13.27%,中國創新投資有限公司 (HKEX: 1217),未公佈,未公佈,-,待公佈
01948.hk,優矩控股,07/05/25,0.7 /(41.7%),4.93 /604.29%,72.71%,Autumn Harvest Ltd (Cheng Yu & Ma Xiaoxia),28/05/25,18/06/25,18/06/28,要約完成
01939.hk,東京中央拍賣,02/05/25,0.44 /(70.67%),4.49 /920.45%,74.99%,Essa Financial Group Ltd (黃仕坤),30/05/25,20/06/25,20/06/28,要約完成
00357.hk,美蘭空港,30/04/25,10.62 /10.63%,10.54 /(0.75%),50.19%,海南機場設施 (香 港) 有限公司 (海南機場設施 SH: 600515),未公佈,未公佈,-,待公佈
09666.hk,金科服務,28/04/25,6.67 /(22.62%),6.89 /3.3%,18.05%,Broad Gongga Investment Pte. Ltd (博裕集團),未公佈,未公佈,-,待公佈
01428.hk,耀才證券金融,25/04/25,3.28 /17.6%,13.9 /323.78%,50.55%,Wealthiness and Prosperity Holding Limited (螞蟻財富),未公佈,未公佈,-,待公佈
00768.hk,開明投資,23/04/25,0.03 /7.14%,0.048 /60.0%,15.1%,Knight Sky Holdings Limited (鄭啟明),14/05/25,11/06/25,11/06/28,要約完成
06113.hk,UTS MARKETING,15/04/25,0.62 /(81.2%),6.52 /951.61%,75.0%,CoreVest Holdings Limited (羅祖春),23/05/25,13/06/25,13/06/28,要約完成
01943.hk,金石控股集團,02/04/25,0.08 /(18.37%),0.39 /387.5%,-,嘉能時代國際貿易有限公司,10/07/25,31/07/25,31/07/28,要約中
00372.hk,保德國際發展,02/04/25,0.175 /12.9%,0.226 /29.14%,29.13%,Marching Great Limited (程民駿),24/04/25,05/06/25,05/06/28,要約完成
01712.hk,龍資源,01/04/25,2.2 /4.27%,3.16 /43.64%,-,Allied Properties Resources Limited (亞太資源 - HKEX 1104),未公佈,未公佈,-,待公佈
03626.hk,HSSP INTL,30/03/25,1.414 /34.67%,9.79 /592.36%,75.0%,Wade Investment SPC Ltd,26/05/25,16/06/25,16/06/28,要約完成
